Kernel,Class,F1-Score,Precision,Recall,k,lambda
SSK,0,0.49275362318840576,0.3469387755102041,0.85,5.0,0.01
SSK,1,0.09090909090909091,0.5,0.05,5.0,0.01
SSK,2,0.45161290322580644,0.6363636363636364,0.35,5.0,0.01
SSK,3,0.3157894736842105,0.3333333333333333,0.3,5.0,0.01
SSK,0,0.49275362318840576,0.3469387755102041,0.85,5.0,0.03
SSK,1,0.09090909090909091,0.5,0.05,5.0,0.03
SSK,2,0.45161290322580644,0.6363636363636364,0.35,5.0,0.03
SSK,3,0.3157894736842105,0.3333333333333333,0.3,5.0,0.03
SSK,0,0.6222222222222222,0.56,0.7,5.0,0.05
SSK,1,0.3913043478260869,0.34615384615384615,0.45,5.0,0.05
SSK,2,0.45161290322580644,0.6363636363636364,0.35,5.0,0.05
SSK,3,0.3157894736842105,0.3333333333333333,0.3,5.0,0.05
SSK,0,0.6511627906976744,0.6086956521739131,0.7,5.0,0.07
SSK,1,0.4186046511627907,0.391304347826087,0.45,5.0,0.07
SSK,2,0.5,0.6666666666666666,0.4,5.0,0.07
SSK,3,0.4285714285714286,0.4090909090909091,0.45,5.0,0.07
SSK,0,0.6829268292682926,0.6666666666666666,0.7,5.0,0.09
SSK,1,0.39999999999999997,0.36,0.45,5.0,0.09
SSK,2,0.5454545454545455,0.6923076923076923,0.45,5.0,0.09
SSK,3,0.4390243902439024,0.42857142857142855,0.45,5.0,0.09
SSK,0,0.7,0.7,0.7,5.0,0.1
SSK,1,0.4347826086956522,0.38461538461538464,0.5,5.0,0.1
SSK,2,0.5714285714285715,0.6666666666666666,0.5,5.0,0.1
SSK,3,0.46153846153846156,0.47368421052631576,0.45,5.0,0.1
SSK,0,0.7027027027027027,0.7647058823529411,0.65,5.0,0.3
SSK,1,0.5714285714285713,0.5454545454545454,0.6,5.0,0.3
SSK,2,0.7142857142857143,0.6818181818181818,0.75,5.0,0.3
SSK,3,0.717948717948718,0.7368421052631579,0.7,5.0,0.3
SSK,0,0.8571428571428571,1.0,0.75,5.0,0.5
SSK,1,0.6956521739130435,0.6153846153846154,0.8,5.0,0.5
SSK,2,0.8837209302325583,0.8260869565217391,0.95,5.0,0.5
SSK,3,0.7777777777777777,0.875,0.7,5.0,0.5
SSK,0,0.8571428571428571,1.0,0.75,5.0,0.7
SSK,1,0.7916666666666667,0.6785714285714286,0.95,5.0,0.7
SSK,2,0.9268292682926829,0.9047619047619048,0.95,5.0,0.7
SSK,3,0.888888888888889,1.0,0.8,5.0,0.7
WK,0,0.9473684210526316,1.0,0.9,,
